Date,Ward,Total_Patients,Infections_Reported,Infection_Rate
2025-01-01,ICU-A,50,1,0.02
2025-01-02,ICU-A,50,1,0.02
2025-01-03,ICU-A,50,1,0.02
2025-01-04,ICU-A,50,1,0.02
2025-01-05,ICU-A,50,0,0.0
2025-01-06,ICU-A,50,0,0.0
2025-01-07,ICU-A,50,0,0.0
2025-01-08,ICU-A,50,2,0.04
2025-01-09,ICU-A,50,1,0.02
2025-01-10,ICU-A,50,1,0.02
2025-01-11,ICU-A,50,1,0.02
2025-01-12,ICU-A,50,2,0.04
2025-01-13,ICU-A,50,1,0.02
2025-01-14,ICU-A,50,2,0.04
2025-01-15,ICU-A,50,0,0.0
2025-01-16,ICU-A,50,0,0.0
2025-01-17,ICU-A,50,0,0.0
2025-01-18,ICU-A,50,2,0.04
2025-01-19,ICU-A,50,1,0.02
2025-01-20,ICU-A,50,0,0.0
2025-01-21,ICU-A,50,1,0.02
2025-01-22,ICU-A,50,3,0.06
2025-01-23,ICU-A,50,2,0.04
2025-01-24,ICU-A,50,3,0.06
2025-01-25,ICU-A,50,1,0.02
2025-01-26,ICU-A,50,0,0.0
2025-01-27,ICU-A,50,2,0.04
2025-01-28,ICU-A,50,0,0.0
2025-01-29,ICU-A,50,0,0.0
2025-01-30,ICU-A,50,3,0.06
2025-01-31,ICU-A,50,1,0.02
2025-02-01,ICU-A,50,5,0.1
2025-02-02,ICU-A,50,1,0.02
2025-02-03,ICU-A,50,1,0.02
2025-02-04,ICU-A,50,1,0.02
2025-02-05,ICU-A,50,0,0.0
2025-02-06,ICU-A,50,0,0.0
2025-02-07,ICU-A,50,2,0.04
2025-02-08,ICU-A,50,1,0.02
2025-02-09,ICU-A,50,1,0.02
2025-02-10,ICU-A,50,0,0.0
2025-02-11,ICU-A,50,0,0.0
2025-02-12,ICU-A,50,1,0.02
2025-02-13,ICU-A,50,2,0.04
2025-02-14,ICU-A,50,3,0.06
2025-02-15,ICU-A,50,2,0.04
2025-02-16,ICU-A,50,0,0.0
2025-02-17,ICU-A,50,10,0.2
2025-02-18,ICU-A,50,8,0.16
2025-02-19,ICU-A,50,4,0.08
2025-02-20,ICU-A,50,8,0.16
2025-02-21,ICU-A,50,3,0.06
2025-02-22,ICU-A,50,1,0.02
2025-02-23,ICU-A,50,9,0.18
2025-02-24,ICU-A,50,3,0.06
2025-02-25,ICU-A,50,2,0.04
2025-02-26,ICU-A,50,1,0.02
2025-02-27,ICU-A,50,2,0.04
2025-02-28,ICU-A,50,5,0.1
2025-03-01,ICU-A,50,8,0.16
2025-03-02,ICU-A,50,4,0.08
2025-03-03,ICU-A,50,6,0.12
2025-03-04,ICU-A,50,6,0.12
2025-03-05,ICU-A,50,6,0.12
2025-03-06,ICU-A,50,6,0.12
2025-03-07,ICU-A,50,7,0.14
2025-03-08,ICU-A,50,9,0.18
2025-03-09,ICU-A,50,3,0.06
2025-03-10,ICU-A,50,6,0.12
2025-03-11,ICU-A,50,4,0.08
2025-03-12,ICU-A,50,9,0.18
2025-03-13,ICU-A,50,5,0.1
2025-03-14,ICU-A,50,5,0.1
2025-03-15,ICU-A,50,3,0.06
2025-03-16,ICU-A,50,3,0.06
2025-03-17,ICU-A,50,5,0.1
2025-03-18,ICU-A,50,2,0.04
2025-03-19,ICU-A,50,6,0.12
2025-03-20,ICU-A,50,6,0.12
2025-03-21,ICU-A,50,4,0.08
2025-03-22,ICU-A,50,8,0.16
2025-03-23,ICU-A,50,8,0.16
2025-03-24,ICU-A,50,3,0.06
2025-03-25,ICU-A,50,7,0.14
2025-03-26,ICU-A,50,3,0.06
2025-03-27,ICU-A,50,11,0.22
2025-03-28,ICU-A,50,5,0.1
2025-03-29,ICU-A,50,6,0.12
2025-03-30,ICU-A,50,6,0.12
2025-03-31,ICU-A,50,4,0.08
2025-04-01,ICU-A,50,5,0.1
2025-04-02,ICU-A,50,8,0.16
2025-04-03,ICU-A,50,4,0.08
2025-04-04,ICU-A,50,7,0.14
2025-04-05,ICU-A,50,6,0.12
2025-04-06,ICU-A,50,8,0.16
2025-04-07,ICU-A,50,9,0.18
2025-04-08,ICU-A,50,8,0.16
2025-04-09,ICU-A,50,4,0.08
2025-04-10,ICU-A,50,6,0.12
